instituicao,uf,exercicio,coluna,conta,periodo,periodicidade,valor,cores,mr,mr_mes,mes,mes_ano,final_mes,mes_ano_end
Governo do Estado da Bahia,BA,2019,<MR-4>,ICMS,6,B,2202912143.79,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado da Bahia,BA,2019,<MR-5>,ICMS,6,B,1928742362.41,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Estado da Bahia,BA,2019,<MR-6>,ICMS,6,B,1989015453.43,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Estado da Bahia,BA,2019,<MR-7>,ICMS,6,B,2021567178.59,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Estado da Bahia,BA,2019,<MR-8>,ICMS,6,B,1988019927.88,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Estado da Bahia,BA,2019,<MR-9>,ICMS,6,B,1869602543.91,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Estado da Bahia,BA,2019,<MR>,ICMS,6,B,2390036662.67,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado da Paraíba,PB,2015,<MR-1>,ICMS,6,B,373901876.97,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado da Paraíba,PB,2015,<MR-10>,ICMS,6,B,363616626.94,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado da Paraíba,PB,2015,<MR-11>,ICMS,6,B,429503703.99,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado da Paraíba,PB,2015,<MR-2>,ICMS,6,B,378512675.13,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado da Paraíba,PB,2015,<MR-3>,ICMS,6,B,357266561.82,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
Governo do Estado da Paraíba,PB,2015,<MR-4>,ICMS,6,B,353024548.07,rcl,12,-4,8,2015-08-01,2015-08-02,2015-08-31
Governo do Estado da Paraíba,PB,2015,<MR-5>,ICMS,6,B,366403402.9,rcl,12,-5,7,2015-07-01,2015-07-02,2015-07-31
Governo do Estado da Paraíba,PB,2015,<MR-6>,ICMS,6,B,361487721.76,rcl,12,-6,6,2015-06-01,2015-06-02,2015-06-30
Governo do Estado da Paraíba,PB,2015,<MR-7>,ICMS,6,B,379267169.67,rcl,12,-7,5,2015-05-01,2015-05-02,2015-05-31
Governo do Estado da Paraíba,PB,2015,<MR-8>,ICMS,6,B,379601405.58,rcl,12,-8,4,2015-04-01,2015-04-02,2015-04-30
Governo do Estado da Paraíba,PB,2015,<MR-9>,ICMS,6,B,336892290.01,rcl,12,-9,3,2015-03-01,2015-03-02,2015-03-31
Governo do Estado da Paraíba,PB,2015,<MR>,ICMS,6,B,381487904.05,rcl,12,,12,2015-12-01,2015-12-02,2015-12-31
Governo do Estado da Paraíba,PB,2016,<MR-1>,ICMS,6,B,411110117.12,rcl,12,-1,11,2016-11-01,2016-11-02,2016-11-30
Governo do Estado da Paraíba,PB,2016,<MR-10>,ICMS,6,B,389566518.99,rcl,12,-10,2,2016-02-01,2016-02-02,2016-02-29
Governo do Estado da Paraíba,PB,2016,<MR-11>,ICMS,6,B,416920214.95,rcl,12,-11,1,2016-01-01,2016-01-02,2016-01-31
Governo do Estado da Paraíba,PB,2016,<MR-2>,ICMS,6,B,409505428.35,rcl,12,-2,10,2016-10-01,2016-10-02,2016-10-31
Governo do Estado da Paraíba,PB,2016,<MR-3>,ICMS,6,B,383077997.51,rcl,12,-3,9,2016-09-01,2016-09-02,2016-09-30
Governo do Estado da Paraíba,PB,2016,<MR-4>,ICMS,6,B,392026396.3,rcl,12,-4,8,2016-08-01,2016-08-02,2016-08-31
Governo do Estado da Paraíba,PB,2016,<MR-5>,ICMS,6,B,391814746.02,rcl,12,-5,7,2016-07-01,2016-07-02,2016-07-31
Governo do Estado da Paraíba,PB,2016,<MR-6>,ICMS,6,B,391003793.83,rcl,12,-6,6,2016-06-01,2016-06-02,2016-06-30
Governo do Estado da Paraíba,PB,2016,<MR-7>,ICMS,6,B,376564750.27,rcl,12,-7,5,2016-05-01,2016-05-02,2016-05-31
Governo do Estado da Paraíba,PB,2016,<MR-8>,ICMS,6,B,387940706.73,rcl,12,-8,4,2016-04-01,2016-04-02,2016-04-30
Governo do Estado da Paraíba,PB,2016,<MR-9>,ICMS,6,B,345320155.6,rcl,12,-9,3,2016-03-01,2016-03-02,2016-03-31
Governo do Estado da Paraíba,PB,2016,<MR>,ICMS,6,B,418627408.62,rcl,12,,12,2016-12-01,2016-12-02,2016-12-31
Governo do Estado da Paraíba,PB,2017,<MR-1>,ICMS,6,B,451117064.97,rcl,12,-1,11,2017-11-01,2017-11-02,2017-11-30
Governo do Estado da Paraíba,PB,2017,<MR-10>,ICMS,6,B,403617211.58,rcl,12,-10,2,2017-02-01,2017-02-02,2017-02-28
Governo do Estado da Paraíba,PB,2017,<MR-11>,ICMS,6,B,465780195.98,rcl,12,-11,1,2017-01-01,2017-01-02,2017-01-31
Governo do Estado da Paraíba,PB,2017,<MR-2>,ICMS,6,B,438434833.23,rcl,12,-2,10,2017-10-01,2017-10-02,2017-10-31
Governo do Estado da Paraíba,PB,2017,<MR-3>,ICMS,6,B,426746224.46,rcl,12,-3,9,2017-09-01,2017-09-02,2017-09-30
Governo do Estado da Paraíba,PB,2017,<MR-4>,ICMS,6,B,403186728.09,rcl,12,-4,8,2017-08-01,2017-08-02,2017-08-31
Governo do Estado da Paraíba,PB,2017,<MR-5>,ICMS,6,B,402143808.01,rcl,12,-5,7,2017-07-01,2017-07-02,2017-07-31
Governo do Estado da Paraíba,PB,2017,<MR-6>,ICMS,6,B,403089602.98,rcl,12,-6,6,2017-06-01,2017-06-02,2017-06-30
Governo do Estado da Paraíba,PB,2017,<MR-7>,ICMS,6,B,401802174.46,rcl,12,-7,5,2017-05-01,2017-05-02,2017-05-31
Governo do Estado da Paraíba,PB,2017,<MR-8>,ICMS,6,B,416790922.75,rcl,12,-8,4,2017-04-01,2017-04-02,2017-04-30
Governo do Estado da Paraíba,PB,2017,<MR-9>,ICMS,6,B,392208566.56,rcl,12,-9,3,2017-03-01,2017-03-02,2017-03-31
Governo do Estado da Paraíba,PB,2017,<MR>,ICMS,6,B,461555218.38,rcl,12,,12,2017-12-01,2017-12-02,2017-12-31
Governo do Estado da Paraíba,PB,2018,<MR-1>,ICMS,6,B,491342047.29,rcl,12,-1,11,2018-11-01,2018-11-02,2018-11-30
Governo do Estado da Paraíba,PB,2018,<MR-10>,ICMS,6,B,439001550.36,rcl,12,-10,2,2018-02-01,2018-02-02,2018-02-28
Governo do Estado da Paraíba,PB,2018,<MR-11>,ICMS,6,B,475699576.43,rcl,12,-11,1,2018-01-01,2018-01-02,2018-01-31
Governo do Estado da Paraíba,PB,2018,<MR-2>,ICMS,6,B,490837033.55,rcl,12,-2,10,2018-10-01,2018-10-02,2018-10-31
Governo do Estado da Paraíba,PB,2018,<MR-3>,ICMS,6,B,502333873.69,rcl,12,-3,9,2018-09-01,2018-09-02,2018-09-30
Governo do Estado da Paraíba,PB,2018,<MR-4>,ICMS,6,B,444318868.56,rcl,12,-4,8,2018-08-01,2018-08-02,2018-08-31
Governo do Estado da Paraíba,PB,2018,<MR-5>,ICMS,6,B,451449474.89,rcl,12,-5,7,2018-07-01,2018-07-02,2018-07-31
Governo do Estado da Paraíba,PB,2018,<MR-6>,ICMS,6,B,397262270.51,rcl,12,-6,6,2018-06-01,2018-06-02,2018-06-30
Governo do Estado da Paraíba,PB,2018,<MR-7>,ICMS,6,B,435575749.34,rcl,12,-7,5,2018-05-01,2018-05-02,2018-05-31
Governo do Estado da Paraíba,PB,2018,<MR-8>,ICMS,6,B,422202518.28,rcl,12,-8,4,2018-04-01,2018-04-02,2018-04-30
Governo do Estado da Paraíba,PB,2018,<MR-9>,ICMS,6,B,414778320.15,rcl,12,-9,3,2018-03-01,2018-03-02,2018-03-31
Governo do Estado da Paraíba,PB,2018,<MR>,ICMS,6,B,526229562.14,rcl,12,,12,2018-12-01,2018-12-02,2018-12-31
Governo do Estado da Paraíba,PB,2019,<MR-1>,ICMS,6,B,523814947.13,rcl,12,-1,11,2019-11-01,2019-11-02,2019-11-30
Governo do Estado da Paraíba,PB,2019,<MR-10>,ICMS,6,B,475093912.59,rcl,12,-10,2,2019-02-01,2019-02-02,2019-02-28
Governo do Estado da Paraíba,PB,2019,<MR-11>,ICMS,6,B,524704400.14,rcl,12,-11,1,2019-01-01,2019-01-02,2019-01-31
Governo do Estado da Paraíba,PB,2019,<MR-2>,ICMS,6,B,483640654.21,rcl,12,-2,10,2019-10-01,2019-10-02,2019-10-31
Governo do Estado da Paraíba,PB,2019,<MR-3>,ICMS,6,B,477157537.79,rcl,12,-3,9,2019-09-01,2019-09-02,2019-09-30
Governo do Estado da Paraíba,PB,2019,<MR-4>,ICMS,6,B,488066339.93,rcl,12,-4,8,2019-08-01,2019-08-02,2019-08-31
Governo do Estado da Paraíba,PB,2019,<MR-5>,ICMS,6,B,478553419.97,rcl,12,-5,7,2019-07-01,2019-07-02,2019-07-31
Governo do Estado da Paraíba,PB,2019,<MR-6>,ICMS,6,B,472180891.01,rcl,12,-6,6,2019-06-01,2019-06-02,2019-06-30
Governo do Estado da Paraíba,PB,2019,<MR-7>,ICMS,6,B,493290160.9,rcl,12,-7,5,2019-05-01,2019-05-02,2019-05-31
Governo do Estado da Paraíba,PB,2019,<MR-8>,ICMS,6,B,467509039.53,rcl,12,-8,4,2019-04-01,2019-04-02,2019-04-30
Governo do Estado da Paraíba,PB,2019,<MR-9>,ICMS,6,B,453175263.17,rcl,12,-9,3,2019-03-01,2019-03-02,2019-03-31
Governo do Estado da Paraíba,PB,2019,<MR>,ICMS,6,B,546025087.92,rcl,12,,12,2019-12-01,2019-12-02,2019-12-31
Governo do Estado de Alagoas,AL,2015,<MR-1>,ICMS,6,B,272785121.21,rcl,12,-1,11,2015-11-01,2015-11-02,2015-11-30
Governo do Estado de Alagoas,AL,2015,<MR-10>,ICMS,6,B,284589337.63,rcl,12,-10,2,2015-02-01,2015-02-02,2015-02-28
Governo do Estado de Alagoas,AL,2015,<MR-11>,ICMS,6,B,296542442.11,rcl,12,-11,1,2015-01-01,2015-01-02,2015-01-31
Governo do Estado de Alagoas,AL,2015,<MR-2>,ICMS,6,B,276029344.95,rcl,12,-2,10,2015-10-01,2015-10-02,2015-10-31
Governo do Estado de Alagoas,AL,2015,<MR-3>,ICMS,6,B,239060664.29,rcl,12,-3,9,2015-09-01,2015-09-02,2015-09-30
